_id;Year;Month;Type;Departure station;Arrival station;Average travel time;Number of expected travels;Number of cancelled trains;Number of late trains at departure;Average delay at departure of all trains;Number of late trains at arrival;Average delay at arrival of all trains;Comment on delay at arrival;Number of late trains > 15min;Average delay of late trains > 15min;Number of late trains > 30min;Number of late trains > 60min;Percentage of late trains due to external causes;Percentage of late trains due to infrastructure;Percentage of late trains due to traffic management;Percentage of late trains due to rolling stock;Percentage of late trains due to station management and reuse of material;Percentage of late trains due to passenger traffic
2018_01_BORDEAUX_ST_JEAN_PARIS_MONTPARNASSE;2018;1;National;BORDEAUX ST JEAN;PARIS MONTPARNASSE;141;870;5;289;3.693179191;147;6.511117534;;110;6.511117534;44;8;36.13445378;31.09243697;10.92436975;15.96638655;5.042016807;0.840336134
2018_01_LA_ROCHELLE_VILLE_PARIS_MONTPARNASSE;2018;1;National;LA ROCHELLE VILLE;PARIS MONTPARNASSE;165;222;0;8;0.095795796;34;5.696096096;;22;5.696096096;5;0;15.38461538;30.76923077;38.46153846;11.53846154;3.846153846;0.0
2018_01_PARIS_MONTPARNASSE_QUIMPER;2018;1;National;PARIS MONTPARNASSE;QUIMPER;220;248;1;37;1.003981107;26;7.578947368;"Ce mois-ci, l'OD a été touchée par les incidents suivants :
Le 1er : Tempête Carmen sur la façade Atlantique  (52 TGV ; 1079mn)
Le 3 : Tempête Eleonor sur l’ouest de la France (35 TGV ; 407mn)
Le 5 : Dérangement d’une aiguille en gare de Massy TGV (57 TGV ; 1254mn)
Le 7 : Dérangement du poste d’aiguillage de Paris Montparnasse (70 TGV ; 1490mn)
Le 12 : Colis suspect en gare de Paris Montparnasse (32 TGV ; 499mn)
Le 12 : Incident caténaire en gare de Rennes (26 TGV ; 2188mn)
Le 17 : Dérangement du poste d’aiguillage de Paris Montparnasse (26 TGV ; 386mn)";26;7.548387097;17;7;26.92307692;38.46153846;15.38461538;19.23076923;0.0;0.0
2018_01_PARIS_MONTPARNASSE_ST_MALO;2018;1;National;PARIS MONTPARNASSE;ST MALO;156;102;0;12;1.966666667;13;6.790686275;"Ce mois-ci, l'OD a été touchée par les incidents suivants :
Le 1er : Tempête Carmen sur la façade Atlantique  (52 TGV ; 1079mn)
Le 3 : Tempête Eleonor sur l’ouest de la France (35 TGV ; 407mn)
Le 5 : Dérangement d’une aiguille en gare de Massy TGV (57 TGV ; 1254mn)
Le 7 : Dérangement du poste d’aiguillage de Paris Montparnasse (70 TGV ; 1490mn)
Le 12 : Colis suspect en gare de Paris Montparnasse (32 TGV ; 499mn)
Le 12 : Incident caténaire en gare de Rennes (26 TGV ; 2188mn)
Le 17 : Dérangement du poste d’aiguillage de Paris Montparnasse (26 TGV ; 386mn)";8;6.724757282;6;4;23.07692308;46.15384615;7.692307692;15.38461538;7.692307692;0.0
2018_01_PARIS_MONTPARNASSE_ST_PIERRE_DES_CORPS;2018;1;National;PARIS MONTPARNASSE;ST PIERRE DES CORPS;61;391;2;61;0.88688946;71;3.346486718;;17;3.346486718;6;0;21.21212121;42.42424242;9.090909091;21.21212121;6.060606061;0.0
2018_01_QUIMPER_PARIS_MONTPARNASSE;2018;1;National;QUIMPER;PARIS MONTPARNASSE;223;256;1;9;0.579477124;21;5.940849673;;21;5.917643229;9;2;27.77777778;55.55555556;0.0;5.555555556;5.555555556;5.555555556
2018_01_RENNES_LYON_PART_DIEU;2018;1;National;RENNES;LYON PART DIEU;233;99;0;23;0.696969697;6;2.244612795;"Ce mois-ci, l'OD a été touchée par les incidents suivants :
Le 1er : Tempête Carmen sur la façade Atlantique  (52 TGV ; 1079mn)
Le 3 : Tempête Eleonor sur l’ouest de la France (35 TGV ; 407mn)
Le 5 : Dérangement d’une aiguille en gare de Massy TGV (57 TGV ; 1254mn)
Le 7 : Dérangement du poste d’aiguillage de Paris Montparnasse (70 TGV ; 1490mn)
Le 12 : Colis suspect en gare de Paris Montparnasse (32 TGV ; 499mn)
Le 12 : Incident caténaire en gare de Rennes (26 TGV ; 2188mn)
Le 17 : Dérangement du poste d’aiguillage de Paris Montparnasse (26 TGV ; 386mn)";6;2.244612795;2;1;0.0;50.0;25.0;25.0;0.0;0.0
2018_01_ST_PIERRE_DES_CORPS_PARIS_MONTPARNASSE;2018;1;National;ST PIERRE DES CORPS;PARIS MONTPARNASSE;61;410;1;173;2.954808476;114;4.359739201;"Ce mois-ci, l'OD a été touchée par les incidents suivants :
Le 1er : Tempête Carmen sur la façade Atlantique  (52 TGV ; 1079mn)
Le 3 : Tempête Eleonor sur l’ouest de la France (35 TGV ; 407mn)
Le 5 : Dérangement d’une aiguille en gare de Massy TGV (57 TGV ; 1254mn)
Le 7 : Dérangement du poste d’aiguillage de Paris Montparnasse (70 TGV ; 1490mn)
Le 12 : Colis suspect en gare de Paris Montparnasse (32 TGV ; 499mn)
Le 17 : Dérangement du poste d’aiguillage de Paris Montparnasse (26 TGV ; 386mn)";26;4.359739201;9;0;22.72727273;45.45454545;16.66666667;12.12121212;1.515151515;1.515151515
2018_01_TOURS_PARIS_MONTPARNASSE;2018;1;National;TOURS;PARIS MONTPARNASSE;75;194;0;12;0.333075601;35;2.929295533;;7;2.929295533;1;0;25.0;56.25;6.25;12.5;0.0;0.0
2018_01_NANTES_STRASBOURG;2018;1;National;NANTES;STRASBOURG;303;39;0;22;1.664957265;5;5.741025641;;5;5.741025641;2;1;0.0;0.0;33.33333333;33.33333333;0.0;33.33333333
2018_01_PARIS_EST_STRASBOURG;2018;1;National;PARIS EST;STRASBOURG;112;494;9;49;0.576323024;14;0.77814433;;11;0.77814433;5;1;25.0;8.333333333;8.333333333;50.0;8.333333333;0.0
2018_01_STRASBOURG_PARIS_EST;2018;1;National;STRASBOURG;PARIS EST;112;507;7;239;3.5573;46;2.675233333;;34;2.675233333;11;1;35.8974359;12.82051282;17.94871795;15.38461538;5.128205128;12.82051282
2018_01_DUNKERQUE_PARIS_NORD;2018;1;National;DUNKERQUE;PARIS NORD;116;245;1;14;0.562704918;28;4.737363388;;19;4.737363388;8;2;26.08695652;26.08695652;26.08695652;17.39130435;4.347826087;0.0
2018_01_LILLE_LYON_PART_DIEU;2018;1;National;LILLE;LYON PART DIEU;190;292;8;122;4.375234742;36;7.582805164;;31;7.582805164;22;13;40.0;30.0;5.0;20.0;5.0;0.0
2018_01_BORDEAUX_ST_JEAN_TOURCOING;2018;1;National;BORDEAUX ST JEAN;TOURCOING;301;31;0;13;1.180645161;3;6.548387097;"7660 du 7 +42: Dérangemetn d'insta MPW
7660 du 26 +68: Soin matériel roulant";3;6.548387097;2;1;0.0;33.33333333;66.66666667;0.0;0.0;0.0
2018_01_PARIS_VAUGIRARD_NANTES;2018;1;National;PARIS VAUGIRARD;NANTES;140;62;0;15;2.522043011;10;7.565591398;;6;7.565591398;3;3;30.0;30.0;20.0;10.0;10.0;0.0
2018_01_RENNES_PARIS_VAUGIRARD;2018;1;National;RENNES;PARIS VAUGIRARD;111;31;0;7;0.64516129;2;3.160752688;;2;3.160752688;0;0;50.0;0.0;50.0;0.0;0.0;0.0
2018_01_TOURCOING_BORDEAUX_ST_JEAN;2018;1;National;TOURCOING;BORDEAUX ST JEAN;286;31;0;5;1.35483871;7;12.04408602;"7839 du 23 +310: Accident de personne
7839 du 21 +58: obstacle sur voie ou aux abords";7;12.04408602;3;1;0.0;0.0;33.33333333;66.66666667;0.0;0.0
2018_01_CHAMBERY_CHALLES_LES_EAUX_PARIS_LYON;2018;1;National;CHAMBERY CHALLES LES EAUX;PARIS LYON;184;278;1;149;8.019795427;69;10.27063779;;60;10.27063779;26;12;24.13793103;17.24137931;32.75862069;20.68965517;3.448275862;1.724137931
2018_01_LYON_PART_DIEU_MARNE_LA_VALLEE;2018;1;National;LYON PART DIEU;MARNE LA VALLEE;109;316;3;221;7.273375932;64;7.814643237;;53;7.814643237;27;10;18.36734694;34.69387755;12.24489796;20.40816327;6.12244898;8.163265306
2018_01_MONTPELLIER_PARIS_LYON;2018;1;National;MONTPELLIER;PARIS LYON;206;340;2;122;4.073619329;58;7.465581854;Heurt d’un chevreuil par OUIGO 7801 vers Valence-TGV;58;7.465581854;31;11;22.0;38.0;12.0;22.0;2.0;4.0
2018_01_MULHOUSE_VILLE_PARIS_LYON;2018;1;National;MULHOUSE VILLE;PARIS LYON;168;328;8;106;2.199895833;24;2.280208333;;19;2.280208333;8;4;37.5;12.5;29.16666667;4.166666667;4.166666667;12.5
